,X,company,address,city,country,name,company_philips,company_akzo,company_vanhouten,company_unilever,product_Laptop,product_TV,product_Tablet,product_Smartphone,product_code,product_number,product_category,full_address
1,1,philips,Groningensingel 147,arnhem,the netherlands,dhr p. jansen,1,0,0,0,0,0,0,1,p,5,Smartphone,"Groningensingel 147,arnhem,the netherlands"
2,2,philips,Groningensingel 148,arnhem,the netherlands,dhr p. hansen,1,0,0,0,0,0,0,1,p,43,Smartphone,"Groningensingel 148,arnhem,the netherlands"
3,3,philips,Groningensingel 149,arnhem,the netherlands,dhr j. Gansen,1,0,0,0,1,0,0,0,x,3,Laptop,"Groningensingel 149,arnhem,the netherlands"
4,4,phllips,Groningensingel 150,arnhem,the netherlands,dhr p. mansen,0,0,0,0,1,0,0,0,x,34,Laptop,"Groningensingel 150,arnhem,the netherlands"
5,5,philips,Groningensingel 151,arnhem,the netherlands,dhr p. fransen,1,0,0,0,1,0,0,0,x,12,Laptop,"Groningensingel 151,arnhem,the netherlands"
6,6,philips,Groningensingel 152,arnhem,the netherlands,dhr p. franssen,1,0,0,0,0,0,0,1,p,23,Smartphone,"Groningensingel 152,arnhem,the netherlands"
7,7,akzo,Leeuwardenweg 178,arnhem,the netherlands,dhr p. bansen,0,1,0,0,0,1,0,0,v,43,TV,"Leeuwardenweg 178,arnhem,the netherlands"
8,8,akzo,Leeuwardenweg 179,arnhem,the netherlands,dhr p. vansen,0,1,0,0,0,1,0,0,v,12,TV,"Leeuwardenweg 179,arnhem,the netherlands"
9,9,philips,Leeuwardenweg 180,arnhem,the netherlands,dhr p. bransen,1,0,0,0,1,0,0,0,x,5,Laptop,"Leeuwardenweg 180,arnhem,the netherlands"
10,10,philips,Leeuwardenweg 181,arnhem,the netherlands,dhr p. janssen,1,0,0,0,0,0,0,1,p,34,Smartphone,"Leeuwardenweg 181,arnhem,the netherlands"
11,11,akzo,Leeuwardenweg 182,arnhem,the netherlands,mevr l.  rokken,0,1,0,0,0,0,1,0,q,5,Tablet,"Leeuwardenweg 182,arnhem,the netherlands"
12,12,akzo,Leeuwardenweg 183,arnhem,the netherlands,mevr l.  lokken,0,1,0,0,0,0,1,0,q,9,Tablet,"Leeuwardenweg 183,arnhem,the netherlands"
13,13,akzo,Leeuwardenweg 184,arnhem,the netherlands,mevr l.  mokken,0,1,0,0,1,0,0,0,x,8,Laptop,"Leeuwardenweg 184,arnhem,the netherlands"
14,14,philips,Delfzijlstraat 54,arnhem,the netherlands,mevr l.  mokken,1,0,0,0,0,0,0,1,p,56,Smartphone,"Delfzijlstraat 54,arnhem,the netherlands"
15,15,philips,Delfzijlstraat 55,arnhem,the netherlands,mevr l.  mokken,1,0,0,0,0,1,0,0,v,67,TV,"Delfzijlstraat 55,arnhem,the netherlands"
16,16,philips,Delfzijlstraat 56,arnhem,the netherlands,mevr l.  mokken,1,0,0,0,0,1,0,0,v,21,TV,"Delfzijlstraat 56,arnhem,the netherlands"
17,17,vanhouten,Delfzijlstraat 57,arnhem,the netherlands,mevr l.  sokken,0,0,1,0,1,0,0,0,x,45,Laptop,"Delfzijlstraat 57,arnhem,the netherlands"
18,18,vanhouten,Delfzijlstraat 58,arnhem,the netherlands,mevr l.  wokken,0,0,1,0,0,1,0,0,v,56,TV,"Delfzijlstraat 58,arnhem,the netherlands"
19,19,vanhouten,Delfzijlstraat 59,arnhem,the netherlands,mevr l.  kokken,0,0,1,0,0,1,0,0,v,65,TV,"Delfzijlstraat 59,arnhem,the netherlands"
20,20,vanhouten,Delfzijlstraat 60,arnhem,the netherlands,mevr l.  Bokken,0,0,1,0,1,0,0,0,x,21,Laptop,"Delfzijlstraat 60,arnhem,the netherlands"
21,21,vanhouten,Delfzijlstraat 61,arnhem,the netherlands,mevr l.  dokken,0,0,1,0,0,0,0,1,p,23,Smartphone,"Delfzijlstraat 61,arnhem,the netherlands"
22,22,unilever,Jourestraat 23,arnhem,the netherlands,mevr l.  gokken,0,0,0,1,1,0,0,0,x,3,Laptop,"Jourestraat 23,arnhem,the netherlands"
23,23,unilever,Jourestraat 24,arnhem,the netherlands,mevr l.  stokken,0,0,0,1,0,0,1,0,q,4,Tablet,"Jourestraat 24,arnhem,the netherlands"
24,24,unilever,Jourestraat 25,arnhem,the netherlands,mevr l.  rokken,0,0,0,1,0,0,1,0,q,6,Tablet,"Jourestraat 25,arnhem,the netherlands"
25,25,unilever,Jourestraat 26,arnhem,the netherlands,mevr l.  rokken,0,0,0,1,0,0,1,0,q,8,Tablet,"Jourestraat 26,arnhem,the netherlands"
